Data,E72870000,E72849000,E72810000,E72715000,E72680000,E72630000,E72430000
1985-05-23,"0,008452381","0,0055161412","0,0051880995","0,0087923836","0,0186816011","0,01697465","0,0214533951"
1985-05-24,"0,0091666667","0,0081303411","0,0069975522","0,0104043885","0,0314505464","0,0271665179","0,024512463"
1985-05-25,"0,008452381","0,0087186885","0,007973597","0,0110670686","0,0287913934","0,0265640714","0,022979821"
1985-05-26,"0,0067952381","0,0097611949","0,0100599453","0,0124067581","0,0253077896","0,021610375","0,0205406852"
1985-05-27,"0,0077380952","0,0079284009","0,007973597","0,0108028169","0,0214520464","0,0180352107","0,0190250309"
1985-05-28,"0,0071095238","0,0069016969","0,0069975522","0,0099866776","0,0189509153","0,01697465","0,0178177778"
1985-05-29,"0,0067952381","0,0061459121","0,0060684229","0,0093205761","0,0192219563","0,0185726107","0,0190250309"
1985-05-30,"0,0067952381","0,0061919044","0,0060684229","0,0093259191","0,0203233033","0,0188430643","0,0193275926"
1985-05-31,"0,0064809524","0,0052821065","0,0051880995","0,0085625095","0,0184140137","0,0167125214","0,0175167284"
1985-06-01,"0,0053380952","0,0049137608","0,0051880995","0,0084588989","0,0155852978","0,0154203","0,0166154938"
1985-06-02,"0,0033952381","0,0044962288","0,0047669109","0,0081589179","0,020602929","0,0196613643","0,0205406852"
1985-06-03,"0,0064809524","0,0060288863","0,0051880995","0,0090236287","0,0297762568","0,0294095107","0,0291444444"
1985-06-04,"0,0061666667","0,0073313326","0,0069975522","0,0101955601","0,0307759016","0,0247811286","0,025742821"
1985-06-05,"0,0056142857","0,0069653216","0,0069975522","0,0100688939","0,0256161585","0,0218932464","0,022979821"
1985-06-06,"0,0033952381","0,0048361517","0,0051880995","0,008439896","0,0220266393","0,0185726107","0,0202369877"
1985-06-07,"0,0067952381","0,0053431107","0,0051880995","0,0086014215","0,0186816011","0,01697465","0,0181191358"
1985-06-08,"0,0064809524","0,0045374416","0,0043587632","0,0078967858","0,0173609863","0,0156762571","0,0166154938"
1985-06-09,"0,0033952381","0,0046079524","0,0051880995","0,0083096553","0,0165894781","0,0154203","0,0160163086"
1985-06-10,"0,0064809524","0,0044721332","0,0043587632","0,0078640007","0,0155852978","0,0149121643","0,0154185"
1985-06-11,"0,0058904762","0,0042778014","0,0043587632","0,0077726136","0,0146092787","0,0134186786","0,0142271543"
1985-06-12,"0,0064809524","0,0043166753","0,0043587632","0,0077836326","0,013661612","0,0124495286","0,0136337284"
1985-06-13,"0,0061666667","0,0045890007","0,0047669109","0,0080630644","0,0129695902","0,0124495286","0,0130418765"
1985-06-14,"0,0061666667","0,0042333835","0,0043587632","0,0077319751","0,0125172077","0,01197315","0,0124516543"
1985-06-15,"0,0058904762","0,0041505354","0,0043587632","0,0076943869","0,0118521475","0,01150235","0,011863142"
1985-06-16,"0,0029952381","0,0029390777","0,0035829373","0,0068959977","0,0112033907","0,0110372179","0,0112764012"
1985-06-17,"0,0058904762","0,0037571334","0,0035829373","0,0071818888","0,014131888","0,0146600071","0,0130418765"
1985-06-18,"0,0061666667","0,0043217125","0,0043587632","0,0079716629","0,0176216366","0,0156762571","0,0205406852"
1985-06-19,"0,0058904762","0,0048611972","0,0051880995","0,0084964881","0,0153386448","0,0139112821","0,0178177778"
1985-06-20,"0,0064809524","0,0042868248","0,0043587632","0,0078221718","0,014131888","0,0126897821","0,0151201173"
1985-06-21,"0,0058904762","0,004122694","0,0043587632","0,0077549827","0,0129695902","0,01197315","0,0142271543"
1985-06-22,"0,0053380952","0,0033630095","0,0035829373","0,0070983338","0,0118521475","0,01150235","0,0130418765"
1985-06-23,"0,0029952381","0,0028972379","0,0035829373","0,0069237967","0,0114178279","0,0110372179","0,0124516543"
1985-06-24,"0,0038333333","0,003027564","0,0035829373","0,0069592973","0,0107799918","0,0105778536","0,011863142"
1985-06-25,"0,0047857143","0,0031601825","0,0035829373","0,0070109862","0,0099551694","0,0101243536","0,0115695432"
1985-06-26,"0,0043095238","0,0030382571","0,0035829373","0,006966289","0,0095538115","0,0096768214","0,0112764012"
1985-06-27,"0,0056142857","0,0032744433","0,0035829373","0,0070296539","0,0093559098","0,0092353714","0,0106915247"
1985-06-28,"0,0053380952","0,0032395012","0,0035829373","0,0069983884","0,0091598634","0,0092353714","0,0101085926"
1985-06-29,"0,0050619048","0,0031780661","0,0035829373","0,0069700134","0,0089656803","0,0090169643","0,0098178827"
1985-06-30,"0,0027952381","0,0021477531","0,0028636209","0,0062708318","0,0089656803","0,0088001179","0,0098178827"
1985-07-01,"0,0091666667","0,0048648371","0,0035829373","0,007475303","0,0192219563","0,0196613643","0,0136337284"
1985-07-02,"0,0091666667","0,0073246518","0,0056220299","0,0092372085","0,0271830219","0,0294095107","0,0166154938"
1985-07-03,"0,008452381","0,0085086989","0,007973597","0,0107501954","0,0237910874","0,0202126143","0,0139302469"
1985-07-04,"0,0077380952","0,00648447","0,0060684229","0,0091817305","0,0192219563","0,0167125214","0,0124516543"
1985-07-05,"0,0077380952","0,0056263668","0,0051880995","0,0085140081","0,0168449016","0,0159334679","0,0124516543"
1985-07-06,"0,0103238095","0,0113075085","0,0100599453","0,0129200622","0,0291180328","0,0344832107","0,0226740247"
1985-07-07,"0,0177666667","0,0221482516","0,0186419701","0,0207582436","0,0747510656","0,0623143214","0,0471182222"
1985-07-08,"0,0384761905","0,0294810858","0,0236084378","0,0258435826","0,0703168579","0,0560931786","0,0496793827"
1985-07-09,"0,0278095238","0,0215484806","0,0179675423","0,0203302663","0,049158224","0,0386845714","0,0357044383"
1985-07-10,"0,0229380952","0,0161901084","0,0135048856","0,0163561511","0,0345671585","0,0297232679","0,0279045247"
1985-07-11,"0,0203761905","0,0133766535","0,0111674129","0,0142289564","0,0281430874","0,0239036214","0,0232858642"
1985-07-12,"0,0172333333","0,0107157781","0,0089948905","0,0122541688","0,0229012568","0,0202126143","0,0199335741"
1985-07-13,"0,0151952381","0,0101595633","0,0089948905","0,0120305546","0,020602929","0,0175025393","0,0178177778"
1985-07-14,"0,0124095238","0,0086917781","0,007973597","0,0110123466","0,0184140137","0,0159334679","0,0160163086"
1985-07-15,"0,0124095238","0,0078013942","0,0069975522","0,0102353455","0,0163358033","0,0149121643","0,0148220926"
1985-07-16,"0,0103238095","0,0065558144","0,0060684229","0,0093427404","0,0150937541","0,0134186786","0,0136337284"
1985-07-17,"0,0091666667","0,006294167","0,0060684229","0,0092492687","0,014131888","0,0129314","0,0130418765"
1985-07-18,"0,008452381","0,0054119276","0,0051880995","0,0085088033","0,0131984754","0,0124495286","0,012157179"
1985-07-19,"0,0077380952","0,00454083","0,0043587632","0,00781535","0,0125172077","0,01173705","0,011863142"
1985-07-20,"0,0071095238","0,0043764589","0,0043587632","0,0077501954","0,0118521475","0,0110372179","0,0112764012"
1985-07-21,"0,0050619048","0,0039695226","0,0043587632","0,0076072572","0,0114178279","0,0108068107","0,0109837222"
1985-07-22,"0,0074238095","0,0037576917","0,0035829373","0,0071650459","0,0107799918","0,0105778536","0,0106915247"
1985-07-23,"0,0064809524","0,0035534398","0,0035829373","0,0070958745","0,0101586202","0,0103503643","0,0103998086"
1985-07-24,"0,0064809524","0,0035069963","0,0035829373","0,0070779049","0,0097535683","0,0096768214","0,0101085926"
1985-07-25,"0,0058904762","0,0033590835","0,0035829373","0,0070318144","0,0095538115","0,0092353714","0,0101085926"
