Cdigo,1,2,3,4,5,6,7,8,9,10,11,12,ANUAL,DJF,MAM,JJA,SON,Latitude,Longitude,Cota
2749015,"236,493333","202,776666","147,406668","108,433333","98,94","81,440001","113,513333","102,413334","157,963333","161,560001","130,713335","168,843332","1710,496668","608,113331","354,780001","373,890001","450,236669","6967936,14","699731,113",94
2749016,"195,766667","162,753334","131,306666","84,95","103,413334","94,87","118,063333","99,88","136,986667","160,56","126,113334","142,44","1557,103336","500,960001","319,67","354,93","423,660001","7008061,83","660547,429",92
2749017,"174,829998","151,233334","105,106668","91,543333","107,36","89,683333","128,423333","109,940001","129,063334","151,549999","125,166667","140,046667","1503,946666","466,109999","304,010001","367,426667","405,78","6957123,47","642925,945",426
2749020,"275,713334","238,696665","160,186667","108,559999","108,33","88,99","127,713335","106,486666","170,013334","194,493332","148,113334","203,666666","1930,963331","718,076665","377,076666","404,213335","512,62","6937475,15","696657,816",842
2749027,"240,519999","253,056666","185,320689","114,606898","116,144828","95,846667","136,275862","115,482759","144,920688","161,375863","167,524139","214,156669","1945,231726","707,733334","416,072415","396,67931","473,82069","6911137,71","683840,797",442
2749033,"162,524139","157,248276","100,546666","94,776667","97,946668","83,434483","114,619999","96,533333","128,234482","149,383333","124,379311","141,746668","1451,374025","461,519083","293,270001","339,387815","401,997126","6969019,06","661608,905",388
2749034,"170,976667","162,066668","114,303334","90,883333","107,513334","91,363333","129,350001","113,170001","140,876667","153,283333","127,66","144,736667","1546,183338","477,780002","312,700001","383,396669","421,82","6956173,83","669152,469",550
2749035,"176,94","157,679309","120,34","106,243334","119,556668","107,77","153,989656","112,489655","161,637929","175,606898","142,168966","148,139999","1682,562414","482,759308","346,140002","428,117241","479,413793","6930679,77","604060,758",860
2749037,"157,153333","144,48","99,84","87,57","99,233334","91,263333","135,353334","106,875862","133,544829","144,803447","117,417242","126,300001","1443,834714","427,933334","286,643334","375,774024","395,765518","6936796,08","661211,209",445
2749039,"180,010714","166,860712","121,892858","97,460714","109,132144","98,075","128,717858","100,857143","132,607142","161,592857","134,060715","130,371429","1561,639285","477,242855","328,485716","362,182143","428,260714","6990046,61","635520,453",341
2750007,"162,423334","164,103449","111,91","115,948275","123,85862","116,096553","161,75862","123,923334","144,133333","167,996667","140,97","126,644828","1659,767013","453,171611","351,716895","429,815287","453,1","6911168,03","588694,134",1122
2750008,"159,803334","160,403334","104,353333","121,69","127,093334","114,993333","146,47","112,846667","143,016665","192,91","140,419999","134,946666","1658,946666","455,153334","353,136667","402,333332","476,346664","6953979,95","513851,608",709
2750009,"151,416667","142,866667","106,720001","113,37","122,539999","107,456666","137,206666","108,846666","143,706666","183,563334","140,326666","156,976666","1614,996665","451,26","342,63","389,759999","467,596666","6976885,68","524649,177",759
2750010,"157,673332","152,36","110,196667","107,696666","129,639999","114,133334","142,813333","108,54","143,753334","178,086666","136,053334","152,03","1632,976664","462,063332","347,533332","395,106666","457,893334","6995443,2","552839,814",956
2750012,"151,61","161,536667","110,053333","109,06","118,943334","110,183334","137,616668","112,35","139,936667","174,853334","131,746667","159,709998","1617,600002","472,856665","338,056667","389,903335","446,536668","6975244,82","555995,952",958
2750014,"177,858621","188,289654","136,593103","89,978572","124,324138","92,748276","122,465518","97,196429","131,782144","163,457142","137,175","161,1","1622,968596","527,248275","350,895813","351,444091","432,414286","7002417,93","595774,027",357
2750020,"159,503334","162,833335","107,093333","121,440001","128,41","116,74","148,326665","113,449999","142,850001","185,13","139,603332","146,503333","1671,883335","468,840002","356,943334","404,626666","467,583333","6940318,34","541123,81",885
2751004,"165,434483","180,248276","116,127586","122,244828","137,131034","125,676667","141,566667","112,633333","150,176667","213,596666","145,206667","161,363332","1771,406206","507,046091","375,503448","404,376667","508,98","6994441,35","450440,571",526
2751006,"162,119999","150,546667","102,083333","141,12","148,266666","136,040001","166,24","129,32","154,486667","200,376668","152,076666","142,813332","1785,489998","455,479998","391,469999","450,046666","506,940001","6935352,13","424331,302",578
2751007,"167,27","146,359999","124,756668","136,903334","156,806666","143,603333","181,713332","131,966667","173,206667","213,236665","164,500001","142,236667","1882,559998","455,866666","418,466668","486,886666","550,943333","6908027,68","419883,908",641
