Longitude,Latitude
305385.28219,7082709.88168
306688.42910,7082799.51424
307269.71217,7082839.53470
307756.03938,7082913.66345
308738.31608,7083508.88791
309582.22191,7083081.44257
311011.84665,7083031.18869
311925.54893,7083077.44261
312616.57927,7083017.40100
313262.14840,7083215.71070
315583.56451,7084892.50823
316135.78711,7084429.28592
317815.18483,7084781.37998
318910.38785,7084851.33126
319507.80015,7084723.79384
320543.30946,7084318.52677
321285.35652,7084028.13397
322787.43137,7084540.79384
323932.76224,7084160.90371
324407.72618,7084003.33897
325195.40403,7084955.09867
326168.44383,7084873.71374
326583.42615,7085245.07186
327805.18818,7084578.74411
328492.60746,7083587.57745
329495.51363,7083855.21127
330104.78116,7083604.85586
330347.12876,7083660.80361
332504.83464,7084159.16993
334535.73383,7081773.50474
334586.27920,7081747.07099
335890.49677,7081065.44882
336793.86360,7080593.28849
337037.51506,7079961.45838
338300.40320,7079488.08878
338562.87183,7078714.40804
338859.71173,7078057.27342
339037.10341,7077904.99989
339574.78044,7077618.02731
340279.96753,7077461.26955
340983.55160,7077304.79285
341020.30248,7077324.54435
342519.24249,7078128.59228
343919.29903,7077888.33031
344466.97496,7078184.35417
344881.05469,7077781.24668
346501.45693,7078647.39682
348107.71755,7079041.47435
350786.50326,7076922.04571
352739.72766,7076787.45700
353870.83718,7075090.28382
353923.29157,7075011.63725
354303.36210,7074766.31742
355129.70060,7074687.50559
356028.49000,7074774.86454
357833.12170,7074950.30064
358230.10269,7075034.85795
360094.97613,7076118.33036
360283.27157,7076680.79457
360951.25380,7075822.94657
361676.42891,7075351.64219
362731.70811,7074782.86834
363660.70826,7075661.24745
365088.93246,7074719.15029
366196.17339,7075506.09185
366749.95521,7074561.34930
368041.98008,7074822.42041
369882.75262,7074835.61746
371959.41706,7072901.40860
372120.86157,7072446.60920
372942.97869,7072486.38623
374052.37951,7073317.43176
374931.57108,7073307.23464
375490.86216,7073300.79906
376156.83490,7072412.13458
378348.64881,7072126.17700
379964.53556,7072802.77387
381307.88938,7074342.37844
381792.28996,7074433.93211
384597.92759,7071527.28516
385928.01437,7071311.61489
386963.43086,7071702.12744
387457.23863,7071086.42030
387709.43373,7071025.92302
389139.26169,7071103.79132
390399.42991,7070366.02782
390550.21740,7070088.84813
390663.73176,7067931.11150
390889.44609,7067314.25087
391054.58468,7067030.63451
391585.23069,7067439.67652
392510.32229,7065603.09730
392651.85909,7065545.73107
393936.64997,7065816.36696
394372.01058,7065121.46438
394875.29736,7065335.43242
395649.82455,7064586.90367
397117.00675,7063985.52905
397395.19238,7063345.72693
398278.27978,7063133.00241
398372.01695,7062405.34062
398869.13256,7062144.82304
399289.08889,7061164.31763
401879.73450,7061256.15768
402207.57232,7060904.11931
403234.28156,7061036.49883
404410.91974,7060307.95355
405708.38536,7060786.89604
407566.75527,7059200.38888
410409.16802,7059670.87821
411936.67399,7059071.22168
412411.82983,7057870.03084
413022.57668,7057534.15958
413167.13266,7057570.03663
414858.80886,7058404.40846
415987.00021,7058126.24007
417984.73318,7059558.57659
418480.10425,7059806.63395
420070.94729,7059043.10426
420597.18156,7058886.55250
421319.23982,7058762.84913
426893.91412,7060381.64959
429851.75554,7059715.43669
430790.74746,7059503.99554
433767.33419,7061441.92435
435655.56098,7060367.79188
437214.49376,7058903.03287
438754.36724,7058711.67517
440461.18168,7059247.46415
441808.86539,7058718.50059
447211.26741,7058583.37281
449062.42385,7059554.86180
450789.37988,7058909.80017
451130.99890,7057130.83882
451810.32855,7056427.89851
451612.80077,7055245.08723
452683.26699,7055613.47028
453395.84685,7055330.06516
453793.01357,7054767.66344
454744.29850,7053274.25168
454654.07249,7051803.03618
456265.68503,7050337.99955
456692.59073,7048023.23460
459502.37458,7046648.30578
459073.02144,7044801.39132
460344.15668,7045511.07915
460905.46646,7046914.49110
460913.53188,7048325.84463
459617.69846,7049358.02225
461069.63791,7050722.68130
462036.36172,7051215.24157
463670.76184,7051322.46363
464860.25899,7052031.81573
466650.59924,7052494.05601
467027.67222,7052532.17230
467281.22124,7052324.42032
467781.66829,7051512.37735
469044.43826,7052065.41528
469567.57682,7051711.76532
471799.47520,7051846.15159
471865.68414,7053109.43562
472594.65230,7053314.84584
472376.41313,7053807.72848
473385.73698,7053614.60902
474258.77695,7054970.72339
476178.21917,7054691.16800
476329.05952,7055714.63951
476808.85044,7056190.50500
477240.66560,7056063.66873
476326.02500,7057335.06740
477693.19238,7058574.50300
477372.68206,7059433.79212
477633.72769,7060453.52816
478395.31955,7061217.96380
477224.74708,7062029.48073
477102.04167,7062789.80182
477714.40485,7063287.52142
476037.03460,7063905.69454
476135.35036,7064497.45653
475393.28720,7064623.87932
474955.44900,7066597.15017
474400.22086,7066660.81232
473893.98753,7067437.64858
473503.63834,7067480.77931
473791.82671,7068074.21013
472896.55008,7068355.69159
473218.17712,7068866.07899
472671.67353,7069227.33461
473237.74665,7069940.64082
473968.40116,7069883.26129
473434.56501,7070854.70080
474991.25825,7071750.00499
474031.11812,7072146.46928
474687.07379,7072949.35162
473308.69639,7073229.40977
