"","nomes","ANO","DJF","MAM","JJA","SON","areas"
"74","E84249998",0.484617783386022,0.418256732376823,0.463152227636107,0.479875170557288,0.458555868956893,599
"75","E84300000",0.420910865754092,0.359002194175957,0.434441650724374,0.471394648650305,0.380183570842648,822
"76","E84580000",0.539794564780474,0.436140644354504,0.571454403559223,0.626183976082448,0.503105321538126,2740
"77","E84551000",0.538277895741075,0.408137441149564,0.526919428443273,0.603369749550692,0.484698205167631,379
"78","E84520010",0.564190117346212,0.500090879652144,0.590683548079915,0.569763186953409,0.513006153374837,676
"79","E84560000",0.463981988312396,0.347702157347587,0.500988915977784,0.563498983272732,0.454863747256744,1690
"80","E84598002",0.666599413309005,0.533485730666325,0.696519097087407,0.730680044255677,0.646542682273456,620
"81","E65180000",0.409138809650194,0.415514119470189,0.376768822376129,0.374790504638614,0.396259247444217,772
"82","E82270050",0.529757580675191,0.4594607776503,0.559058567765386,0.552668060703837,0.493018591856666,374
"83","E84100000",0.614822944529013,0.53681479456802,0.650732735653242,0.650745128191725,0.557973142717379,400
"84","E84970000",0.248946352303811,0.211833728268721,0.235525046958444,0.277755670388641,0.236718059508571,339
